,longitude,latitude,glim,contact1,contact2,geometry,LST_01
139802,14.25,28.75,3.0,0.0,1.0,POINT (14.25 28.75),295.88299560546875
139803,14.25,28.25,3.0,0.0,1.0,POINT (14.25 28.25),294.4859924316406
139804,14.25,27.75,3.0,0.0,1.0,POINT (14.25 27.75),296.9539794921875
140161,14.75,29.25,3.0,0.0,1.0,POINT (14.75 29.25),293.375
140162,14.75,28.75,3.0,0.0,1.0,POINT (14.75 28.75),295.2569885253906
140163,14.75,28.25,2.0,1.0,0.0,POINT (14.75 28.25),294.3489990234375
140164,14.75,27.75,3.0,0.0,1.0,POINT (14.75 27.75),295.09197998046875
140522,15.25,28.75,2.0,1.0,0.0,POINT (15.25 28.75),292.0610046386719
140523,15.25,28.25,3.0,0.0,1.0,POINT (15.25 28.25),295.2070007324219
140881,15.75,29.25,3.0,0.0,1.0,POINT (15.75 29.25),295.77398681640625
140882,15.75,28.75,2.0,1.0,0.0,POINT (15.75 28.75),293.052001953125
140883,15.75,28.25,3.0,0.0,1.0,POINT (15.75 28.25),294.5509948730469
140892,15.75,23.75,3.0,0.0,1.0,POINT (15.75 23.75),299.16497802734375
141241,16.25,29.25,3.0,0.0,1.0,POINT (16.25 29.25),294.2869873046875
141242,16.25,28.75,3.0,0.0,1.0,POINT (16.25 28.75),292.864990234375
141243,16.25,28.25,3.0,0.0,1.0,POINT (16.25 28.25),292.5849914550781
141244,16.25,27.75,3.0,0.0,1.0,POINT (16.25 27.75),295.8119812011719
141245,16.25,27.25,3.0,0.0,1.0,POINT (16.25 27.25),296.8659973144531
141246,16.25,26.75,3.0,0.0,1.0,POINT (16.25 26.75),293.58599853515625
141252,16.25,23.75,3.0,0.0,1.0,POINT (16.25 23.75),296.9679870605469
141253,16.25,23.25,2.0,1.0,0.0,POINT (16.25 23.25),297.34100341796875
141256,16.25,21.75,3.0,0.0,1.0,POINT (16.25 21.75),297.8979797363281
141257,16.25,21.25,3.0,0.0,1.0,POINT (16.25 21.25),303.27899169921875
141258,16.25,20.75,3.0,0.0,1.0,POINT (16.25 20.75),306.864990234375
141602,16.75,28.75,3.0,0.0,1.0,POINT (16.75 28.75),294.2080078125
141603,16.75,28.25,3.0,0.0,1.0,POINT (16.75 28.25),296.6719970703125
141604,16.75,27.75,2.0,1.0,0.0,POINT (16.75 27.75),297.41400146484375
141605,16.75,27.25,2.0,1.0,0.0,POINT (16.75 27.25),298.60400390625
141606,16.75,26.75,3.0,0.0,1.0,POINT (16.75 26.75),296.9010009765625
141607,16.75,26.25,3.0,0.0,1.0,POINT (16.75 26.25),295.4159851074219
141608,16.75,25.75,3.0,0.0,1.0,POINT (16.75 25.75),300.010986328125
141613,16.75,23.25,3.0,0.0,1.0,POINT (16.75 23.25),297.625
141617,16.75,21.25,2.0,1.0,0.0,POINT (16.75 21.25),303.5829772949219
141618,16.75,20.75,3.0,0.0,1.0,POINT (16.75 20.75),301.9620056152344
141619,16.75,20.25,3.0,0.0,1.0,POINT (16.75 20.25),307.3630065917969
141962,17.25,28.75,3.0,0.0,1.0,POINT (17.25 28.75),295.1860046386719
141963,17.25,28.25,2.0,1.0,0.0,POINT (17.25 28.25),298.8320007324219
141964,17.25,27.75,2.0,1.0,0.0,POINT (17.25 27.75),298.5719909667969
141965,17.25,27.25,2.0,1.0,0.0,POINT (17.25 27.25),297.6869812011719
141966,17.25,26.75,2.0,1.0,0.0,POINT (17.25 26.75),299.2829895019531
141967,17.25,26.25,2.0,1.0,0.0,POINT (17.25 26.25),297.7879943847656
141968,17.25,25.75,2.0,1.0,0.0,POINT (17.25 25.75),297.7309875488281
141969,17.25,25.25,3.0,0.0,1.0,POINT (17.25 25.25),298.5099792480469
141976,17.25,21.75,3.0,0.0,1.0,POINT (17.25 21.75),298.4079895019531
141977,17.25,21.25,2.0,1.0,0.0,POINT (17.25 21.25),303.4259948730469
141978,17.25,20.75,2.0,1.0,0.0,POINT (17.25 20.75),302.4010009765625
141979,17.25,20.25,3.0,0.0,1.0,POINT (17.25 20.25),303.3269958496094
142323,17.75,28.25,3.0,0.0,1.0,POINT (17.75 28.25),295.5369873046875
142324,17.75,27.75,2.0,1.0,0.0,POINT (17.75 27.75),299.41998291015625
142325,17.75,27.25,2.0,1.0,0.0,POINT (17.75 27.25),299.6889953613281
142327,17.75,26.25,2.0,1.0,0.0,POINT (17.75 26.25),299.8219909667969
142328,17.75,25.75,2.0,1.0,0.0,POINT (17.75 25.75),297.8070068359375
142337,17.75,21.25,2.0,1.0,0.0,POINT (17.75 21.25),305.78399658203125
142338,17.75,20.75,2.0,1.0,0.0,POINT (17.75 20.75),300.8320007324219
142340,17.75,19.75,3.0,0.0,1.0,POINT (17.75 19.75),308.4179992675781
142341,17.75,19.25,3.0,0.0,1.0,POINT (17.75 19.25),304.99798583984375
142683,18.25,28.25,3.0,0.0,1.0,POINT (18.25 28.25),295.8659973144531
142684,18.25,27.75,3.0,0.0,1.0,POINT (18.25 27.75),296.1940002441406
142685,18.25,27.25,2.0,1.0,0.0,POINT (18.25 27.25),299.8280029296875
142688,18.25,25.75,3.0,0.0,1.0,POINT (18.25 25.75),299.0669860839844
142692,18.25,23.75,3.0,0.0,1.0,POINT (18.25 23.75),298.6399841308594
142693,18.25,23.25,3.0,0.0,1.0,POINT (18.25 23.25),301.77398681640625
142694,18.25,22.75,3.0,0.0,1.0,POINT (18.25 22.75),301.93798828125
142697,18.25,21.25,2.0,1.0,0.0,POINT (18.25 21.25),300.92498779296875
142698,18.25,20.75,2.0,1.0,0.0,POINT (18.25 20.75),299.9079895019531
142699,18.25,20.25,2.0,1.0,0.0,POINT (18.25 20.25),299.447998046875
142700,18.25,19.75,2.0,1.0,0.0,POINT (18.25 19.75),306.4119873046875
142701,18.25,19.25,3.0,0.0,1.0,POINT (18.25 19.25),304.3590087890625
143044,18.75,27.75,3.0,0.0,1.0,POINT (18.75 27.75),295.0400085449219
143045,18.75,27.25,3.0,0.0,1.0,POINT (18.75 27.25),296.3580017089844
143052,18.75,23.75,3.0,0.0,1.0,POINT (18.75 23.75),301.552001953125
143053,18.75,23.25,2.0,1.0,0.0,POINT (18.75 23.25),303.0220031738281
143054,18.75,22.75,3.0,0.0,1.0,POINT (18.75 22.75),303.093994140625
143056,18.75,21.75,3.0,0.0,1.0,POINT (18.75 21.75),296.07098388671875
143057,18.75,21.25,3.0,0.0,1.0,POINT (18.75 21.25),297.8119812011719
143058,18.75,20.75,3.0,0.0,1.0,POINT (18.75 20.75),296.7989807128906
143059,18.75,20.25,3.0,0.0,1.0,POINT (18.75 20.25),299.7900085449219
143060,18.75,19.75,2.0,1.0,0.0,POINT (18.75 19.75),303.76397705078125
143061,18.75,19.25,3.0,0.0,1.0,POINT (18.75 19.25),301.9010009765625
143411,19.25,24.25,3.0,0.0,1.0,POINT (19.25 24.25),299.1130065917969
143412,19.25,23.75,2.0,1.0,0.0,POINT (19.25 23.75),300.1719970703125
143413,19.25,23.25,3.0,0.0,1.0,POINT (19.25 23.25),298.83599853515625
143414,19.25,22.75,3.0,0.0,1.0,POINT (19.25 22.75),298.6529846191406
143421,19.25,19.25,3.0,0.0,1.0,POINT (19.25 19.25),301.6300048828125
143772,19.75,23.75,2.0,1.0,0.0,POINT (19.75 23.75),298.4289855957031
143773,19.75,23.25,3.0,0.0,1.0,POINT (19.75 23.25),298.572998046875
144131,20.25,24.25,3.0,0.0,1.0,POINT (20.25 24.25),298.3269958496094
144132,20.25,23.75,3.0,0.0,1.0,POINT (20.25 23.75),300.177001953125
144133,20.25,23.25,3.0,0.0,1.0,POINT (20.25 23.25),298.9750061035156
