,longitude,latitude,glim,contact1,contact2,geometry,LST_01,LST_02,LST_03,LST_04,LST_05,LST_06,LST_07,LST_08,LST_09,LST_10,LST_11,LST_12
139802,14.25,28.75,3.0,0.0,1.0,POINT (14.25 28.75),295.88299560546875,299.82666015625,306.6666564941406,312.3895263671875,317.2218933105469,321.67047119140625,324.32379150390625,323.7923583984375,319.70855712890625,312.5618896484375,304.3933410644531,297.0923767089844
139803,14.25,28.25,3.0,0.0,1.0,POINT (14.25 28.25),294.4859924316406,297.8085632324219,303.8609313964844,309.3495178222656,314.3076171875,318.5323791503906,321.3314208984375,320.6923828125,316.9523620605469,310.09332275390625,302.3218994140625,295.884765625
139804,14.25,27.75,3.0,0.0,1.0,POINT (14.25 27.75),296.9539794921875,300.3590393066406,306.30474853515625,311.8504638671875,316.24761962890625,320.4723815917969,323.1523742675781,322.52093505859375,319.0923767089844,312.24951171875,304.5380859375,298.0104675292969
140161,14.75,29.25,3.0,0.0,1.0,POINT (14.75 29.25),293.375,297.17047119140625,304.0152282714844,309.5485534667969,315.0038146972656,319.2609558105469,321.4857177734375,321.2961730957031,317.32666015625,310.2876281738281,301.90380859375,294.9409484863281
140162,14.75,28.75,3.0,0.0,1.0,POINT (14.75 28.75),295.2569885253906,299.066650390625,305.779052734375,311.4504699707031,317.0199890136719,321.4476013183594,324.0590515136719,323.6095275878906,319.2657165527344,312.0952453613281,303.7438049316406,296.6380920410156
140163,14.75,28.25,2.0,1.0,0.0,POINT (14.75 28.25),294.3489990234375,297.9123840332031,304.5333251953125,309.9314270019531,315.40570068359375,319.7095031738281,322.3019104003906,321.336181640625,317.4942932128906,310.6209411621094,302.4676208496094,295.8590393066406
140164,14.75,27.75,3.0,0.0,1.0,POINT (14.75 27.75),295.09197998046875,298.8895263671875,305.2971496582031,310.6161804199219,315.5247497558594,319.4857177734375,322.0895080566406,321.4599914550781,318.1209411621094,311.239990234375,303.16094970703125,296.2190246582031
140522,15.25,28.75,2.0,1.0,0.0,POINT (15.25 28.75),292.0610046386719,295.490478515625,302.1009521484375,307.7409362792969,312.8076171875,316.9552307128906,319.2161865234375,318.3085632324219,314.4952392578125,307.60284423828125,299.8209533691406,293.5104675292969
140523,15.25,28.25,3.0,0.0,1.0,POINT (15.25 28.25),295.2070007324219,298.9761962890625,305.9676208496094,311.54949951171875,316.4723815917969,320.6904602050781,323.2257080078125,322.7314147949219,318.87713623046875,311.8714294433594,303.97808837890625,296.91143798828125
140881,15.75,29.25,3.0,0.0,1.0,POINT (15.75 29.25),295.77398681640625,299.4752197265625,306.2361755371094,311.4142761230469,316.6885681152344,321.1933288574219,323.29998779296875,322.8619079589844,319.0990295410156,312.3695068359375,304.2990417480469,297.2342834472656
